ID,Age,Gender,LicenceCountry,Yrs DL,Points,NCD,Engine cc,Ins Group,Stored,Car Age,Claim
B11049040,37,M,UK,4,0,0,1200,3,Road,12,Yes
B56292263,28,M,UK,1,0,2,1600,5,Drive,1,Yes
A31004199,18,M,UK,1,0,1,1400,3,Garage,2,Yes
A72037489,77,F,UK,16,0,1,1200,2,Garage,1,Yes
A26500111,39,M,UK,21,0,4,1400,2,Garage,11,No
B81878648,27,F,UK,5,0,1,1200,3,Garage,3,No
B84648128,71,F,UK,9,0,0,1200,2,Road,9,Yes
A22994283,62,F,UK,12,0,3,1400,4,Drive,11,Yes
B54987452,56,M,UK,35,8,1,1200,3,Garage,1,Yes
B56979442,25,F,UK,3,0,2,1400,6,Garage,6,No
B20274135,43,M,UK,21,0,1,1200,5,Garage,10,No
B99041823,32,M,UK,2,0,1,1200,2,Garage,6,No
B62917999,35,M,UK,6,0,1,1200,4,Garage,3,No
A80446079,67,M,UK,31,0,1,1400,4,Garage,2,No
B52982482,72,F,UK,48,0,3,1200,2,Garage,5,No
A90781684,24,M,UK,6,0,3,1400,4,Garage,3,Yes
A16140127,31,M,UK,13,0,4,1200,4,Road,6,Yes
A40774643,32,M,UK,5,0,1,1200,6,Road,1,Yes
A56180545,77,F,UK,38,0,1,1600,3,Garage,3,Yes
B81340446,79,M,UK,31,0,2,1400,4,Garage,3,No
A45255528,49,F,UK,21,0,3,1200,2,Garage,6,No
B50216951,46,M,UK,29,0,3,1200,3,Garage,18,No
A52990966,32,F,UK,13,0,2,1400,3,Garage,4,No
A94651037,69,F,UK,5,0,1,1200,5,Garage,3,No
A85850195,39,F,UK,15,0,4,1200,6,Garage,8,No
A93664275,69,F,UK,41,0,4,1400,5,Garage,19,Yes
B52872591,54,F,UK,36,0,3,1200,2,Road,1,No
A22719452,77,M,UK,41,8,2,1200,5,Garage,2,Yes
B33504868,21,M,UK,3,0,4,1400,7,Garage,14,Yes
A95201513,49,M,UK,6,4,3,1400,5,Garage,2,Yes
B73086653,47,F,UK,5,0,3,1200,5,Road,1,Yes
A53268863,76,F,UK,20,0,1,1200,3,Garage,3,Yes
A6313508,29,F,UK,11,0,1,1400,6,Garage,1,No
B78302181,19,M,UK,2,0,0,1400,6,Garage,4,Yes
B13068247,60,F,UK,14,0,1,1600,3,Drive,19,Yes
A88462911,59,M,UK,12,0,1,1200,6,Garage,1,No
A45648056,33,M,UK,2,0,1,1400,6,Garage,13,No
A69369926,40,M,UK,5,0,2,1200,6,Garage,1,No
A45945202,67,M,UK,3,0,3,1800,4,Garage,12,Yes
B63943726,52,F,UK,21,0,2,1400,3,Garage,3,No
A75775750,43,M,UK,10,0,0,1200,2,Garage,10,No
B44292214,62,M,UK,30,0,2,1600,7,Garage,9,Yes
B93661147,57,M,UK,17,0,4,1200,3,Road,3,Yes
A83721857,73,F,UK,13,0,4,1400,3,Road,1,Yes
B65754909,55,F,UK,8,0,2,1200,2,Road,15,Yes
A22473883,35,F,UK,3,0,4,1200,6,Garage,1,No
B60347640,47,F,UK,12,0,1,1200,2,Garage,7,No
B92183931,75,M,UK,47,0,2,1200,3,Garage,3,No
B67774951,44,M,UK,14,0,2,1200,5,Garage,1,No
B68377111,19,M,UK,2,0,4,1200,6,Garage,1,No
A98846507,20,F,UK,2,0,0,1200,4,Road,3,Yes
B75235766,63,M,UK,39,0,2,1200,4,Garage,1,No
A21669586,68,F,UK,41,4,2,1200,6,Garage,1,Yes
B28994044,34,M,UK,16,4,0,1400,6,Garage,2,Yes
B85095502,50,M,UK,17,0,3,1200,4,Garage,6,No
A93544794,26,F,UK,2,4,1,1200,4,Garage,10,Yes
A12043484,71,M,UK,36,0,3,1200,3,Garage,7,No
A35515484,80,F,UK,15,4,0,1200,6,Garage,16,Yes
B49999979,65,M,UK,7,0,2,1600,4,Garage,5,No
A13424997,34,M,UK,17,0,3,1200,4,Garage,2,No
B33626147,80,F,UK,47,0,2,1400,2,Garage,6,Yes
B38205762,30,F,UK,10,0,3,1200,4,Garage,2,No
B89628165,31,F,UK,13,0,1,1400,4,Garage,3,No
A22049376,57,M,UK,19,0,3,1200,2,Garage,3,No
B75601480,68,F,UK,30,0,4,1600,6,Drive,9,Yes
A36234097,55,M,UK,27,0,0,2000,6,Drive,13,Yes
B62894178,28,F,UK,3,0,2,1400,5,Garage,11,No
A55209819,39,M,UK,3,0,0,1800,6,Garage,15,No
B44845339,42,M,UK,16,0,3,1400,4,Drive,2,No
B48334307,43,M,UK,1,0,2,1800,3,Garage,1,No
B11903487,37,M,UK,14,0,2,1400,5,Garage,12,No
A79136348,26,M,UK,9,0,4,1200,2,Road,2,No
A82902391,37,F,UK,1,0,4,1600,5,Drive,1,No
B47551386,21,F,UK,4,0,1,1200,5,Garage,1,No
A72414963,58,F,UK,29,8,2,1200,4,Garage,7,Yes
B74181042,52,M,UK,35,0,3,1400,3,Garage,6,No
B58405000,79,F,UK,22,0,1,1600,4,Garage,5,Yes
B30886143,66,F,UK,47,0,1,1400,3,Garage,4,No
B45162511,31,M,UK,12,0,4,1200,6,Garage,17,No
B39002671,27,M,UK,4,0,1,1200,6,Road,1,No
A71822294,32,M,UK,7,0,0,1200,2,Garage,17,No
B48754210,56,F,UK,27,0,0,1200,2,Road,1,No
B29014096,53,M,UK,5,0,4,1200,2,Drive,1,No
A27487263,36,F,UK,7,0,2,1200,2,Garage,9,No
A31907823,38,F,UK,11,0,4,1200,4,Garage,1,No
A87751778,19,F,UK,2,0,4,1400,6,Garage,15,Yes
B84392492,20,M,UK,3,0,1,1400,4,Garage,1,Yes
A71839524,32,M,UK,4,0,0,1400,2,Garage,3,No
B32199386,68,F,UK,6,0,2,1200,5,Garage,3,No
A41397830,58,M,UK,23,0,2,1400,4,Road,1,Yes
A76075376,40,F,UK,12,0,0,1200,5,Road,10,Yes
A31797343,71,M,UK,53,0,3,1800,7,Garage,4,No
A60070849,49,F,UK,31,0,2,1800,5,Garage,9,No
B77399420,21,F,UK,2,0,1,1200,2,Garage,1,No
B65803379,71,F,UK,49,0,3,1400,5,Road,15,Yes
B26443543,41,M,UK,21,4,1,1200,6,Garage,14,Yes
B27724749,26,F,UK,1,0,3,1400,4,Garage,1,No
A80304008,64,F,UK,46,0,1,1400,7,Garage,17,Yes
A23696315,67,M,UK,46,0,4,1200,4,Garage,2,No
A52965046,80,F,UK,32,0,0,1200,6,Road,4,Yes
A61676439,76,M,UK,47,0,4,1200,2,Garage,16,No
B17151169,23,M,UK,1,0,4,1200,4,Garage,2,No
A19821290,52,M,UK,3,0,2,1400,4,Garage,10,No
B73849292,33,M,UK,6,0,2,1200,3,Road,1,No
A51203450,49,M,UK,30,0,1,1400,3,Garage,4,No
B64470297,63,M,UK,3,4,3,1400,3,Garage,5,Yes
A45797173,42,M,UK,2,0,2,1200,4,Garage,3,No
A46779780,70,M,UK,7,0,0,1400,4,Road,1,Yes
B34146405,64,M,UK,14,0,4,1400,5,Garage,7,No
A24885722,35,F,UK,17,0,2,1400,7,Garage,12,No
A64867767,47,F,UK,20,4,2,1400,3,Garage,1,Yes
A31775672,35,M,UK,18,0,0,1400,2,Garage,3,No
B63142148,19,M,UK,1,0,3,1200,5,Garage,4,Yes
A66406598,45,M,UK,20,0,2,1200,2,Drive,18,No
A76644460,30,F,UK,7,0,3,1200,6,Road,11,Yes
B61794671,79,M,UK,16,0,2,1400,5,Garage,1,No
A31751394,45,M,UK,9,0,2,1800,6,Garage,2,No
B31162767,76,M,UK,3,0,0,1200,3,Garage,11,No
B63768257,28,M,UK,7,0,2,1400,2,Garage,9,No
A38642852,45,M,UK,14,0,2,1400,2,Garage,2,No
B68739556,67,M,UK,17,0,2,1400,5,Garage,3,No
A40523493,79,M,UK,41,0,3,1400,4,Garage,3,No
B85865103,46,M,UK,28,0,0,1200,5,Garage,12,No
B19833158,49,M,UK,28,0,2,1200,6,Garage,15,No
B40543225,68,M,UK,28,0,2,1200,3,Garage,8,No
A91685828,73,F,UK,34,0,2,1200,3,Drive,2,Yes
B24449769,43,M,UK,20,0,1,2000,8,Garage,1,No
B17891023,59,F,UK,25,0,0,1600,7,Garage,12,Yes
B91055467,48,F,UK,4,0,0,1600,7,Garage,6,No
A65994391,40,M,UK,13,0,3,1400,2,Garage,1,No
B68803449,60,M,UK,33,0,2,1200,2,Garage,2,No
A61389862,24,F,UK,6,0,2,1600,6,Garage,1,Yes
B90656332,29,M,UK,3,0,3,1600,4,Garage,1,No
A16587604,76,M,UK,7,0,3,1200,4,Garage,12,No
B88727366,51,F,UK,19,0,0,1400,3,Garage,19,No
B32542085,51,M,UK,1,0,3,1400,5,Garage,7,No
B12009433,58,F,UK,26,0,4,1400,4,Garage,5,Yes
B82075861,57,F,UK,26,0,0,1200,2,Garage,8,No
B11783596,77,F,UK,15,8,1,1400,6,Garage,2,Yes
B49415088,75,F,UK,27,0,4,1200,4,Garage,6,Yes
A63621138,65,M,UK,48,0,0,1600,3,Garage,3,No
A86013594,51,M,UK,5,4,0,1600,3,Drive,5,Yes
A19348032,34,F,UK,7,0,0,1200,6,Garage,2,No
A88107787,28,M,UK,10,4,4,1400,4,Garage,1,Yes
B94346123,33,F,UK,10,8,4,1200,4,Road,3,Yes
B31955325,48,F,UK,16,8,2,1800,6,Road,7,Yes
B51614735,69,F,UK,1,0,3,1200,5,Garage,4,No
A43601442,24,F,UK,2,0,1,1800,7,Garage,9,Yes
B60020663,60,F,UK,28,8,2,1200,3,Road,3,Yes
B79534454,62,M,UK,6,0,2,1400,4,Drive,1,No
B9429879,28,F,UK,5,0,4,1200,3,Garage,10,No
A95265121,74,M,UK,57,0,3,1400,6,Garage,13,Yes
A72441310,75,F,UK,5,0,2,1200,4,Garage,1,No
A16045231,50,M,UK,28,0,3,1400,4,Garage,11,No
A72168681,38,F,UK,13,0,3,1600,2,Garage,1,No
A71418617,80,F,UK,56,0,2,1200,2,Garage,3,Yes
A13524662,49,M,UK,14,0,2,1400,4,Garage,7,No
A1502637,65,M,UK,26,0,1,1200,2,Road,6,No
A36489201,75,M,UK,45,0,0,1200,5,Garage,8,No
A76208571,39,M,UK,7,0,2,1200,2,Garage,2,No
B59591496,69,M,UK,11,4,3,1800,6,Drive,9,Yes
B16016266,27,M,UK,2,0,1,1600,5,Garage,4,No
B48264738,48,F,UK,20,0,3,1200,5,Road,2,No
B62233695,18,F,UK,1,0,4,1200,4,Road,2,Yes
B74383025,25,M,UK,3,0,4,1400,4,Garage,4,No
B48727731,71,M,UK,22,0,4,1200,4,Garage,14,No
B36847322,56,F,UK,15,0,4,1200,3,Garage,1,No
A62200669,46,M,UK,18,0,2,1400,3,Road,6,No
A67151616,49,F,UK,10,4,3,1400,2,Garage,1,Yes
B98887063,65,F,UK,46,0,0,1600,6,Garage,16,Yes
B10273041,30,M,UK,7,0,0,1200,5,Garage,18,No
B43632707,27,F,UK,4,0,4,1200,6,Road,6,No
A36308460,54,F,UK,32,4,2,1400,5,Garage,5,Yes
A48532297,75,F,UK,41,0,2,1200,2,Garage,17,Yes
B38540526,20,M,UK,2,0,1,1200,4,Garage,2,No
B696147,71,M,UK,36,4,0,1600,6,Garage,3,Yes
A31625674,76,M,UK,20,0,2,1200,3,Garage,2,No
B84182730,32,F,UK,7,0,1,1600,4,Garage,2,No
A69621765,50,F,UK,19,8,2,1800,3,Garage,1,Yes
B61992282,24,M,UK,7,0,4,1400,2,Garage,1,Yes
B93836453,60,M,UK,10,0,3,1200,6,Garage,9,Yes
B9509801,33,M,UK,10,0,4,1400,4,Garage,1,No
B91862115,25,F,UK,4,8,4,1400,3,Road,2,Yes
A62453466,57,M,UK,38,0,2,1200,5,Garage,3,No
B66349524,60,F,UK,34,0,0,1800,6,Garage,18,Yes
A30966981,79,M,UK,13,0,4,1600,6,Garage,6,Yes
A94872064,54,F,UK,23,0,0,1200,3,Road,1,Yes
A31166033,62,M,UK,16,8,0,1200,5,Garage,12,Yes
B70110977,48,F,UK,17,0,2,1200,4,Garage,1,No
A6195172,21,M,UK,1,0,2,1200,4,Garage,1,Yes
B40664032,37,M,UK,14,0,0,1200,4,Garage,7,No
B36625594,18,M,UK,1,0,2,1200,4,Garage,2,No
A9620047,69,F,UK,1,0,2,1400,5,Garage,17,Yes
B60275301,73,M,UK,25,0,2,1200,6,Garage,3,No
B33628620,30,F,UK,7,0,0,1200,5,Garage,12,No
A73766648,80,M,UK,15,0,2,1800,5,Road,2,Yes
A93972987,18,F,UK,1,0,0,2000,4,Drive,4,Yes
B78270733,41,F,UK,22,0,2,1200,3,Road,7,No
B91546453,61,M,UK,33,8,3,1400,2,Road,4,Yes
A6379545,65,F,UK,44,0,4,1800,7,Road,9,Yes
A81534671,23,M,UK,6,0,1,1400,4,Garage,1,Yes
A24510147,28,F,UK,3,0,0,1600,6,Garage,4,No
A57160027,41,M,UK,14,0,0,1200,4,Garage,4,No
A33473360,41,M,UK,22,0,2,1200,4,Garage,2,No
B83282343,62,F,UK,14,0,0,1400,6,Garage,7,Yes
B98790370,29,F,UK,1,0,0,2000,5,Garage,6,No
B79549142,20,F,UK,3,0,2,1600,2,Garage,2,Yes
A69984893,76,F,UK,52,0,2,1200,2,Garage,2,Yes
B95219032,38,M,UK,9,0,2,1600,7,Garage,3,No
B44316463,25,M,UK,6,0,4,2000,5,Road,8,Yes
B21805731,52,F,UK,25,0,0,1200,5,Road,12,Yes
B83221425,28,M,UK,2,0,4,1200,4,Drive,2,No
A82666947,79,F,UK,40,0,0,1600,6,Garage,5,Yes
A38367203,52,M,UK,14,0,3,1200,5,Garage,8,No
A78794553,65,F,UK,45,0,1,1600,4,Road,5,Yes
B75948279,71,M,UK,3,0,0,1200,5,Garage,14,No
B32965104,30,M,UK,12,0,1,1800,6,Road,13,Yes
A36935198,47,M,UK,16,0,4,1400,3,Road,7,Yes
A65731531,66,F,UK,23,0,1,1200,4,Garage,1,No
B267127,53,F,UK,35,0,0,1600,4,Garage,6,No
A20701235,65,F,UK,1,0,2,1200,5,Garage,13,Yes
A40212825,28,F,UK,2,0,1,1200,6,Garage,3,No
B73239676,24,M,UK,4,0,2,1200,3,Garage,1,No
A41300322,76,M,UK,36,8,2,1400,7,Garage,5,Yes
A1614497,73,F,UK,4,0,1,1400,7,Garage,11,Yes
B82245520,21,F,UK,4,0,3,1200,5,Garage,1,No
B15058037,29,F,UK,12,0,0,1200,2,Road,14,No
B81219410,37,F,UK,14,0,2,1200,2,Garage,6,No
B40914018,41,M,UK,23,0,4,1400,6,Road,3,Yes
B6135534,77,M,UK,35,0,2,1800,7,Drive,10,Yes
A10906908,27,F,UK,6,0,1,1200,4,Garage,6,No
A11568198,56,M,UK,19,0,0,1400,5,Garage,4,No
B11145505,66,F,UK,42,0,4,1800,5,Garage,1,Yes
B94400413,47,M,UK,20,0,2,1200,4,Garage,8,No
A76876278,57,M,UK,13,0,4,1600,6,Garage,16,No
B77684486,33,M,UK,9,0,2,1400,5,Garage,6,No
A83902754,31,F,UK,9,0,0,1200,2,Garage,1,No
B3584676,65,M,UK,38,0,4,1400,5,Garage,7,No
B12889932,23,M,UK,1,4,2,1200,5,Road,5,Yes
B84850022,43,M,UK,12,0,4,1200,6,Garage,2,No
A67570863,36,M,UK,3,0,2,1400,3,Drive,1,No
A5485510,70,F,UK,30,0,4,1600,5,Garage,10,Yes
B32813610,64,F,UK,30,0,0,1400,2,Road,8,Yes
B46850717,75,F,UK,20,0,3,1400,2,Drive,4,Yes
B98827275,48,F,UK,1,0,1,1200,6,Road,3,Yes
A73349149,31,M,UK,3,0,3,1200,5,Drive,6,No
A84512025,46,M,UK,5,0,3,1400,2,Road,2,No
A17570497,71,M,UK,31,0,4,1600,4,Road,4,Yes
A78645681,31,F,UK,11,0,3,1400,2,Garage,6,No
A6766553,32,M,UK,7,0,1,1400,2,Garage,2,No
B84000616,51,M,UK,8,4,2,1400,4,Garage,7,Yes
B22476379,61,M,UK,23,0,0,1400,6,Drive,12,Yes
B22434025,40,F,UK,7,0,0,1600,6,Road,1,Yes
A12642709,34,F,UK,6,0,1,1200,6,Garage,1,No
B51542349,25,F,UK,7,0,2,1400,3,Drive,1,No
A41052655,59,F,UK,4,0,0,1200,3,Garage,10,No
A19969420,42,M,UK,21,0,2,1200,6,Garage,1,No
B85587895,38,M,UK,5,0,2,2200,4,Road,5,Yes
B90946926,52,F,UK,5,0,2,1600,4,Garage,2,No
B69775312,73,F,UK,55,0,0,1200,5,Garage,1,No
B90089444,78,F,UK,10,0,4,1200,2,Garage,8,Yes
A5340198,22,F,UK,3,0,0,1200,4,Garage,1,No
A12096065,64,F,UK,37,0,2,1200,5,Drive,18,Yes
A32535932,64,M,UK,31,0,0,1200,6,Road,2,Yes
A22646359,52,M,UK,22,0,2,2000,4,Garage,12,Yes
B79397852,61,F,UK,28,0,3,1200,3,Garage,4,No
A91421240,42,F,UK,6,0,1,1800,5,Drive,16,Yes
B45167887,43,F,UK,5,0,2,1400,4,Road,1,No
A78273649,36,F,UK,5,4,3,1200,5,Road,8,Yes
B85059474,50,M,UK,29,0,1,1200,2,Road,1,No
A49764633,31,F,UK,9,0,1,1200,5,Road,1,No
A6388895,38,M,UK,5,0,3,1400,4,Garage,5,No
A89034068,35,F,UK,12,0,2,1200,6,Garage,2,No
B14263710,73,M,UK,48,0,2,1400,4,Garage,12,No
A51471853,29,F,UK,3,0,3,1600,2,Garage,1,No
B4167883,38,M,UK,8,0,1,1200,4,Road,1,No
A72630888,39,M,UK,7,0,4,1800,3,Garage,6,No
A72688231,24,F,UK,3,0,4,1600,5,Drive,3,Yes
A666993,44,M,UK,22,0,4,1400,7,Road,2,Yes
A97051896,73,F,UK,34,0,1,1400,5,Drive,1,Yes
A57580826,33,F,UK,6,0,1,1200,5,Road,1,No
B66035664,78,F,UK,22,0,2,1200,4,Garage,1,Yes
B46363087,37,M,UK,10,0,0,1600,5,Garage,4,No
B6790462,53,M,UK,3,0,4,1200,3,Road,7,No
B96128943,25,M,UK,7,0,2,1200,6,Garage,19,No
B60056195,45,M,UK,17,0,3,1400,5,Garage,1,No
B15801343,19,F,UK,1,0,4,1400,2,Drive,1,No
A85869976,48,F,UK,11,0,2,1600,6,Road,11,Yes
B18696985,77,F,UK,19,4,4,1400,6,Garage,2,Yes
A63045399,48,F,UK,5,0,0,1400,4,Garage,15,No
A37312616,50,M,UK,16,0,4,1400,6,Garage,3,No
B46613638,64,F,UK,46,0,4,1200,6,Garage,14,Yes
A96993416,20,F,UK,1,0,2,1400,6,Garage,1,No
B40304100,67,F,UK,40,0,4,1800,4,Road,8,Yes
B48347812,42,M,UK,16,0,4,1200,5,Garage,2,No
B60684770,76,M,UK,21,4,0,1200,2,Garage,12,Yes
A42944872,42,F,UK,15,0,4,1200,3,Road,2,No
A88788544,46,F,UK,16,0,0,1200,3,Garage,2,No
A14892431,71,F,UK,30,4,0,1200,5,Garage,1,Yes
A77494081,60,F,UK,32,4,3,1200,2,Garage,1,Yes
B52144644,20,M,UK,1,0,1,1200,5,Drive,16,Yes
B31335743,32,F,UK,3,0,3,1200,3,Garage,16,No
A41603462,37,M,UK,20,0,4,1200,4,Garage,9,No
A3335517,56,M,UK,3,0,0,1400,4,Garage,5,No
B49598083,66,M,UK,14,0,1,1400,6,Garage,1,No
B38120887,35,M,UK,18,0,4,1600,2,Drive,2,No
A25460306,74,M,UK,24,0,4,1600,7,Garage,10,No
B47640187,74,M,UK,21,0,1,1200,5,Garage,9,Yes
B37183419,47,F,UK,1,0,1,1800,5,Garage,6,No
B77068428,40,F,UK,10,0,1,1200,2,Garage,4,No
B59893949,62,F,UK,1,0,4,1800,6,Garage,1,Yes
B86905633,46,M,UK,14,8,0,1400,5,Garage,1,Yes
A20230407,61,F,UK,26,0,3,1400,6,Road,18,Yes
B36754827,31,M,UK,11,0,4,1200,6,Garage,5,No
B44208856,75,M,UK,12,0,2,1800,3,Garage,3,No
A99436850,21,F,UK,2,8,3,1200,4,Road,3,Yes
A7898095,21,F,UK,2,0,0,1400,5,Garage,7,No
A3286664,64,M,UK,26,0,4,1600,5,Garage,2,Yes
B66165722,42,M,UK,23,4,4,1400,5,Garage,12,Yes
